file,rehydrated,re_quarantined,source_quarantine,notes
cleanup/achievement_avatar_update.php,false,true,_quarantine/cleanup/achievement_avatar_update.php,"stubbed due to markers: $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_avatar_update.php on line 21 | Errors parsing cleanup/achievement_avatar_update.php"
cleanup/achievement_bday_update.php,false,true,_quarantine/cleanup/achievement_bday_update.php,"stubbed due to markers: $db->run("");, $db->run(');; php -l failed: Parse error: syntax error, unexpected identifier ""clean_log"", expecting "")"" in cleanup/achievement_bday_update.php on line 89 | Errors parsing cleanup/achievement_bday_update.php"
cleanup/achievement_corrupt_update.php,false,true,_quarantine/cleanup/achievement_corrupt_update.php,"stubbed due to markers: $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_corrupt_update.php on line 21 | Errors parsing cleanup/achievement_corrupt_update.php"
cleanup/achievement_fpost_update.php,false,true,_quarantine/cleanup/achievement_fpost_update.php,"stubbed due to markers: $db->run("");, $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_fpost_update.php on line 21 | Errors parsing cleanup/achievement_fpost_update.php"
cleanup/achievement_ftopics_update.php,false,true,_quarantine/cleanup/achievement_ftopics_update.php,"stubbed due to markers: $db->run("");, $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_ftopics_update.php on line 21 | Errors parsing cleanup/achievement_ftopics_update.php"
cleanup/achievement_invite_update.php,false,true,_quarantine/cleanup/achievement_invite_update.php,"stubbed due to markers: $db->run("");, $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_invite_update.php on line 21 | Errors parsing cleanup/achievement_invite_update.php"
cleanup/achievement_karma_update.php,false,true,_quarantine/cleanup/achievement_karma_update.php,"php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_karma_update.php on line 23 | Errors parsing cleanup/achievement_karma_update.php"
cleanup/achievement_request_update.php,false,true,_quarantine/cleanup/achievement_request_update.php,"stubbed due to markers: $db->run("");, $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_request_update.php on line 21 | Errors parsing cleanup/achievement_request_update.php"
cleanup/achievement_seedtime_update.php,false,true,_quarantine/cleanup/achievement_seedtime_update.php,"stubbed due to markers: $db->run("");, $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_seedtime_update.php on line 20 | Errors parsing cleanup/achievement_seedtime_update.php"
cleanup/achievement_sheep_update.php,false,true,_quarantine/cleanup/achievement_sheep_update.php,"stubbed due to markers: $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_sheep_update.php on line 21 | Errors parsing cleanup/achievement_sheep_update.php"
cleanup/achievement_shouts_update.php,false,true,_quarantine/cleanup/achievement_shouts_update.php,"stubbed due to markers: $db->run("");, $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_shouts_update.php on line 21 | Errors parsing cleanup/achievement_shouts_update.php"
cleanup/achievement_sig_update.php,false,true,_quarantine/cleanup/achievement_sig_update.php,"stubbed due to markers: $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_sig_update.php on line 21 | Errors parsing cleanup/achievement_sig_update.php"
cleanup/achievement_sreset_update.php,false,false,_quarantine/cleanup/achievement_sreset_update.php,has_sql false; kept stub
cleanup/achievement_sticky_update.php,false,true,_quarantine/cleanup/achievement_sticky_update.php,"stubbed due to markers: $db->run("");, $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_sticky_update.php on line 21 | Errors parsing cleanup/achievement_sticky_update.php"
cleanup/achievement_up_update.php,false,true,_quarantine/cleanup/achievement_up_update.php,"stubbed due to markers: $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/achievement_up_update.php on line 21 | Errors parsing cleanup/achievement_up_update.php"
cleanup/ajax_chat_cleanup.php,false,true,_quarantine/cleanup/ajax_chat_cleanup.php,"stubbed due to markers: $db->run("");; php -l failed: Parse error: syntax error, unexpected identifier ""Run"", expecting "")"" in cleanup/ajax_chat_cleanup.php on line 41 | Errors parsing cleanup/ajax_chat_cleanup.php"
cleanup/anime_title_update.php,false,true,_quarantine/cleanup/anime_title_update.php,stubbed due to markers: $fluent
cleanup/announcement_update.php,true,false,_quarantine/cleanup/announcement_update.php,
cleanup/anonymous_update.php,false,true,_quarantine/cleanup/anonymous_update.php,"stubbed due to markers: $fluent, /* columns */"
cleanup/autoinvite_update.php,false,true,_quarantine/cleanup/autoinvite_update.php,"stubbed due to markers: $db->run(');; php -l failed: Parse error: syntax error, unexpected token "","" in cleanup/autoinvite_update.php on line 31 | Errors parsing cleanup/autoinvite_update.php"
cleanup/avatarpos_update.php,false,true,_quarantine/cleanup/avatarpos_update.php,"stubbed due to markers: $fluent, /* columns */"
cleanup/backup_update.php,false,false,_quarantine/cleanup/backup_update.php,has_sql false; kept stub
cleanup/backupdb.php,false,true,_quarantine/cleanup/backupdb.php,"stubbed due to markers: $fluent, /* columns */"
cleanup/birthday_update.php,false,true,_quarantine/cleanup/birthday_update.php,stubbed due to markers: $fluent
cleanup/bounties_update.php,false,true,_quarantine/cleanup/bounties_update.php,stubbed due to markers: $fluent
cleanup/bugs_update.php,false,false,_quarantine/cleanup/bugs_update.php,has_sql false; kept stub
cleanup/chatpost_update.php,false,true,_quarantine/cleanup/chatpost_update.php,"stubbed due to markers: $fluent, /* columns */"
