file,reason,first_error_line,suggested_fix
cleanup/achievement_avatar_update.php,php_lint_error,22,Fix parse error before re-enabling script.
cleanup/achievement_bday_update.php,php_lint_error,90,Fix parse error before re-enabling script.
cleanup/achievement_corrupt_update.php,php_lint_error,22,Fix parse error before re-enabling script.
cleanup/achievement_fpost_update.php,php_lint_error,22,Fix parse error before re-enabling script.
cleanup/achievement_ftopics_update.php,php_lint_error,22,Fix parse error before re-enabling script.
cleanup/achievement_invite_update.php,php_lint_error,22,Fix parse error before re-enabling script.
cleanup/achievement_karma_update.php,php_lint_error,24,Fix parse error before re-enabling script.
cleanup/achievement_request_update.php,php_lint_error,22,Fix parse error before re-enabling script.
cleanup/achievement_seedtime_update.php,php_lint_error,21,Fix parse error before re-enabling script.
cleanup/achievement_sheep_update.php,php_lint_error,22,Fix parse error before re-enabling script.
cleanup/achievement_shouts_update.php,php_lint_error,22,Fix parse error before re-enabling script.
cleanup/achievement_sig_update.php,php_lint_error,22,Fix parse error before re-enabling script.
cleanup/achievement_sreset_update.php,php_lint_error,31,Fix parse error before re-enabling script.
cleanup/achievement_sticky_update.php,php_lint_error,22,Fix parse error before re-enabling script.
cleanup/achievement_up_update.php,php_lint_error,22,Fix parse error before re-enabling script.
cleanup/ajax_chat_cleanup.php,php_lint_error,43,Fix parse error before re-enabling script.
cleanup/anime_title_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/announcement_update.php,manual_review,,Review business logic before restoring.
cleanup/anonymous_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/autoinvite_update.php,php_lint_error,32,Fix parse error before re-enabling script.
cleanup/avatarpos_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/backup_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/backupdb.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/birthday_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/bounties_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/bugs_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/chatpost_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/cheatclean_update.php,manual_review,,Review business logic before restoring.
cleanup/customsmilie_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/delete_torrents_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/downloadpos_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/expired_signup_update.php,php_lint_error,25,Fix parse error before re-enabling script.
cleanup/forum_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/freeslot_update.php,php_lint_error,32,Fix parse error before re-enabling script.
cleanup/freetorrents_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/funds_table_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/funds_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/gameaccess_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/gift_update.php,php_lint_error,7,Fix parse error before re-enabling script.
cleanup/goaccess_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/happyhour_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/hitrun_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/immunity_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/inactive_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/ip_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/irc_update.php,php_lint_error,27,Fix parse error before re-enabling script.
cleanup/karma_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/karmavip_update.php,php_lint_error,37,Fix parse error before re-enabling script.
cleanup/king_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/leechwarn_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/lotteryclean.php,php_lint_error,31,Fix parse error before re-enabling script.
cleanup/messages_cleanup.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/mow_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/newsrss_cleanup.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/optimizedb.php,manual_review,,Review business logic before restoring.
cleanup/peer_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/pirate_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/prime_caches.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/processkill_update.php,manual_review,,Review business logic before restoring.
cleanup/pu_demote_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/pu_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/referrer_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/sendpmpos_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/silvertorrents_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/sitepot_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/sitestats_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/snatchclean_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/torrents_normalize.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/torrents_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/trivia_points_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/trivia_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/tvmaze_schedule_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/tvmaze_shows_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/tvmaze_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/uploadpos_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/user_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/visible_update.php,php_lint_error,9,Fix parse error before re-enabling script.
cleanup/warned_update.php,php_lint_error,9,Fix parse error before re-enabling script.
