file,rehydrated,re_quarantined,legacy_found,select_star,csrf_todo,exits_removed,output_escaped,notes
public/achievementbonus.php,true,false,false,false,false,false,false,"Normalized header imports"
public/achievementhistory.php,true,false,false,false,false,false,false,"Normalized header imports"
public/achievementlist.php,true,false,false,false,true,false,false,"Rebuilt query without FluentPDO"
public/ajax/ajax_tooltips.php,true,false,false,false,false,false,false,"Reordered header imports"
public/ajax/autocomplete.php,true,false,false,false,true,false,true,"Replaced FluentPDO with Database cache query"
public/ajax/bookmarks.php,true,false,false,false,true,false,true,"Rewrote bookmark toggles with PDO"
public/ajax/checkport.php,true,false,false,false,true,false,false,"Added CSRF TODO and Database import"
public/ajax/checkports.php,true,false,false,false,true,false,true,"Converted peer checks to Database"
public/ajax/cooker_notify.php,true,false,false,false,true,false,false,"Replaced insert/delete with Database"
public/ajax/descr_format.php,true,false,false,false,true,false,false,"Reordered header and added CSRF TODO"
public/ajax/ebook_lookup.php,true,false,false,false,true,false,false,"Normalized imports and validation"
public/ajax/emailcheck.php,true,false,false,false,false,false,false,"Header cleanup"
public/ajax/imdb_lookup.php,true,false,false,false,true,false,false,"Normalized imports and input handling"
public/ajax/isbn_lookup.php,true,false,false,false,true,false,false,"Added CSRF TODO"
public/ajax/like.php,true,false,false,false,true,false,true,"Replaced transaction handling with Database::tx"
public/ajax/member_input.php,true,false,false,false,true,false,false,"Reworked sitelog insert with Database"
public/ajax/namecheck.php,true,false,false,false,false,false,false,"Header cleanup"
public/ajax/offer_notify.php,true,false,false,false,true,false,false,"Replaced offer notify toggles with Database"
public/ajax/offer_status.php,true,false,false,false,true,false,false,"Converted status updates to Database"
public/ajax/offer_vote.php,true,false,false,false,true,false,false,"Rebuilt vote toggles with Database"
